country,iso3,report_id,report_year,publication_date,cr_number,doc_type,title,file_name,pdf_path,n_pages_catalogue
Egypt,EGY,1egyea2005177,2005,2005-06-07,05/177,article_iv,Arab Republic of Egypt: Staff Report for the 2005 Article IV Consultation,1egyea2005177.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2005177.pdf,59
Egypt,EGY,1egyea2005179,2005,2005-06-07,05/179,selected_issues,Arab Republic of Egypt: Selected Issues,1egyea2005179.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2005179.pdf,46
Egypt,EGY,1egyea2006253,2006,2006-07-11,06/253,article_iv,Arab Republic of Egypt: Staff Report for the 2006 Article IV Consultation—Staff Report; Staff Statement; Public Information Notice on the Executive Board Discussion; and Statement by the Executive Director for the Arab Republic of Egypt,1egyea2006253.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2006253.pdf,56
Egypt,EGY,1egyea2007380,2007,2007-12-13,07/380,article_iv,Arab Republic of Egypt: 2007 Article IV Consultation: Staff Report; Staff Statement; Public Information Notice on the Executive Board Discussion; and Statement by the Executive Director for the Arab Republic of Egypt,1egyea2007380.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2007380.pdf,57
Egypt,EGY,1egyea2007381,2007,2007-12-13,07/381,selected_issues,Arab Republic of Egypt: Selected Issues,1egyea2007381.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2007381.pdf,67
Egypt,EGY,1egyea2009025,2009,2009-01-27,09/025,article_iv,Arab Republic of Egypt: 2008 Article IV Consultation: Staff Report; Staff Statement; Public Information Notice on the Executive Board Discussion; and Statement by the Executive Director for the Arab Republic of Egypt,1egyea2009025.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2009025.pdf,51
Egypt,EGY,1egyea2010094,2010,2010-04-20,10/094,article_iv,Arab Republic of Egypt: 2010 Article IV Consultation: Staff Report; Public Information Notice on the Executive Board Discussion; and Statement by the Executive Director for the Arab Republic of Egypt,1egyea2010094.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2010094.pdf,58
Egypt,EGY,1egyea2015033,2015,2015-02-11,15/033,article_iv,Arab Republic of Egypt: Staff Report for the 2014 Article IV Consultation,1egyea2015033.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2015033.pdf,71
Egypt,EGY,1egyea2017017,2017,2017-01-18,17/017,program_request,Arab Republic of Egypt: Request for Extended Arrangement Under the Extended Fund Facility-Press Release; Staff Report; and Statement by the Executive Director for the Arab Republic of Egypt,1egyea2017017.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2017017.pdf,84
Egypt,EGY,1egyea2018014,2018,2018-01-22,18/014,article_iv+program_review,"Arab Republic of Egypt: 2017 Article IV Consultation, Second Review Under the Extended Arrangement Under the Extended Fund Facility, and Request for Modification of Performance Criteria-Press Release; Staff Report; and Statement by the Executive Director for the Arab Republic of Egypt",1egyea2018014.pdf,/mnt/data/EGY_reform_preflight_final/extracted/EGY/1egyea2018014.pdf,108
